date,coverage,icorr,rho_trail,rho_fwd
2014-07-21,1.0,0.2589469053595235,0.2321435323431924,0.28162562241458666
2014-07-22,1.0,0.25089145458930434,0.23141913111044196,0.27654615569622054
2014-07-23,1.0,0.2748158342453889,0.23612024125989808,0.2825307202804291
2014-07-24,1.0,0.28452427160239324,0.23309911286872498,0.29565528793744966
2014-07-25,1.0000000000000002,0.3211637999627909,0.2351781885052785,0.30005383963817794
2014-07-28,1.0000000000000002,0.3136395230547949,0.23728374196295682,0.3040788107957337
2014-07-29,1.0,0.35411261170449004,0.21795947659145834,0.30930503455122127
2014-07-30,1.0,0.36177396269750706,0.21838915066545772,0.33081667677033316
2014-07-31,1.0,0.5209246274101392,0.23402204315039501,0.21426984741521185
2014-08-01,1.0,0.5084983163529311,0.2296187351631402,0.20032248193041916
2014-08-04,1.0,0.3957906359955407,0.2224702169153826,0.19610661860815462
2014-08-05,0.9999999999999999,0.5121880641313862,0.22457515157091498,0.14978686313231765
2014-08-06,1.0,0.48254567593893394,0.21952395452679943,0.15880673057223998
2014-08-07,1.0,0.5322979780073579,0.21996613008612997,0.13886604507469477
2014-08-08,1.0000000000000002,0.4636519144648183,0.2216829549169771,0.15785815801875575
2014-08-11,1.0,0.40805170044591527,0.22252894511893878,0.17095753787325102
2014-08-12,1.0,0.4304564415385729,0.22222676847714418,0.16489680535821366
2014-08-13,1.0,0.3672881924767163,0.22576332027866416,0.14991135224868002
2014-08-14,1.0,0.34634641984933145,0.22554608099091442,0.15127771463202216
2014-08-15,1.0,0.36415324532762877,0.22604678426253605,0.14963928601682716
2014-08-18,1.0,0.344479951647409,0.23005559582144902,0.1294682798194033
2014-08-19,1.0,0.35862837875253767,0.2303957651882791,0.11945215413099203
2014-08-20,1.0,0.35015460481439464,0.23222104533276192,0.14097880161616136
2014-08-21,1.0,0.3455469612410456,0.23309111805308558,0.1293256096442713
2014-08-22,0.9999999999999999,0.3414982468083594,0.2331012273893305,0.14803945999932128
2014-08-25,0.9999999999999999,0.33668138504308176,0.2343200097299151,0.15873687337604678
2014-08-26,1.0,0.33644205605387084,0.22846507123143608,0.17096983917643144
2014-08-27,1.0,0.3451095903180199,0.21794229738763787,0.25873451044392626
2014-08-28,0.9999999999999999,0.33603423980968117,0.21950301284307522,0.268272646740561
2014-08-29,1.0,0.324338997723027,0.21992207024096044,0.2657098687879159
2014-09-01,0.9999999999999998,0.3239437176525344,0.22029457960196397,0.262075783357063
